Old UUID,Location,New UUID fix
6e70f994-480b-4836-a605-5f958a3d7ea4,,444c0878-c380-4e0f-9e3d-92f300008a7c
f62266ab-2385-45b1-beb6-cbdbafaeb00b,,0986a14e-1fe7-4a0f-84e6-e26700003519
fe0acd60-3ddc-11dd-ae5a-0050c2490048,,24b75bbd-9ff1-4105-af5e-78ec000038b4
1729ef88-6556-11dd-ad8b-0800200c9a66,,c56456b1-b366-4007-b0ea-893200009c42
1f31247d-6556-11dd-ad8b-0800200c9a66,,f96b2d93-36ca-4a72-a352-35f20000348d
e8d69262-2e79-4122-9da8-fd9328da8d6b,,0543ab8d-dfa7-4444-884f-4470000011b2
2861065e-b62b-4d9d-869b-12db6d0b4801,,5e17586e-c527-4fc1-b896-658b00001fc9
09333058-7adb-4965-aa9f-7d7f7aa47de6,,535e4af9-85b1-4510-99ef-ff2c00004252
3e4d9e9e-6556-11dd-ad8b-0800200c9a66,,9a4bb241-f556-4f40-91c9-37c600007557
e412ed0d-8a14-4eea-a9f5-f966517360c0,,fcbee7ff-51ff-4f13-99dc-56a30000933f
7a845c58-e575-4729-b7f3-294013fd2172,,b62112b7-d633-4bd0-a060-b12100009a58
a7a7d264-116f-4093-8070-26bb0d4346c9,,3017bd32-1264-4986-ab81-3e4f00005769
a3876d9b-a3e8-4680-861a-4e08642f1392,,5ab476ef-ea7f-4c25-8e18-af550000998d
d6ffd442-2ac4-42e4-9c6d-a1b86b8c3d72,,6a77173c-dfd4-4917-ac8c-361d00005446
6e70f994-480b-4836-a605-5f958a3d7ea4,AF,565f6808-7cf8-4417-b2ca-3b2e00006b4d
6e70f994-480b-4836-a605-5f958a3d7ea4,AL,eb289f0f-dc20-409a-8fc9-3623000005cf
6e70f994-480b-4836-a605-5f958a3d7ea4,DZ,d0e1eb62-3dc7-42cb-bfd3-6a6800008f39
6e70f994-480b-4836-a605-5f958a3d7ea4,AS,fa1331bb-67e0-460c-9426-c3d700006e11
6e70f994-480b-4836-a605-5f958a3d7ea4,AD,811816aa-425d-4d58-aaa5-e8c7000036dd
6e70f994-480b-4836-a605-5f958a3d7ea4,AO,d68de581-154f-4d94-a660-246f00001ed2
6e70f994-480b-4836-a605-5f958a3d7ea4,AI,361224cd-3b8d-4bee-8190-9ae500008492
6e70f994-480b-4836-a605-5f958a3d7ea4,AG,b581c029-80c1-4786-89cf-66ad000051eb
6e70f994-480b-4836-a605-5f958a3d7ea4,AR,754f866a-8c82-4f4f-aa66-3f75000079b3
6e70f994-480b-4836-a605-5f958a3d7ea4,AM,26d8b11c-8b76-4a2e-a966-8ae000002383
6e70f994-480b-4836-a605-5f958a3d7ea4,AW,3e470a96-6db8-43d6-a202-800600007b75
6e70f994-480b-4836-a605-5f958a3d7ea4,AU,fbf32033-ef61-4377-95fa-6d710000578d
6e70f994-480b-4836-a605-5f958a3d7ea4,AT,66809f5d-6744-49c1-91de-7bde000070f0
6e70f994-480b-4836-a605-5f958a3d7ea4,AZ,759ec974-d21f-448b-95ac-73b500007535
6e70f994-480b-4836-a605-5f958a3d7ea4,BS,1180a1cc-245a-4b28-aaf2-aae900009d37
6e70f994-480b-4836-a605-5f958a3d7ea4,BH,8a221aed-da0e-49f1-b395-2685000025f8
6e70f994-480b-4836-a605-5f958a3d7ea4,BD,5155dae4-1b46-49d0-ad16-00c4000019ef
6e70f994-480b-4836-a605-5f958a3d7ea4,BB,51552d28-7022-4422-9392-8a6b000097fa
6e70f994-480b-4836-a605-5f958a3d7ea4,BY,77096b2a-1361-45c8-b79e-951e000029a1
6e70f994-480b-4836-a605-5f958a3d7ea4,BE,9189e136-fb36-4d01-a884-aa5a000003c6
6e70f994-480b-4836-a605-5f958a3d7ea4,BZ,8d2f269c-99e3-44fe-90de-be1d000038a6
6e70f994-480b-4836-a605-5f958a3d7ea4,BJ,0f80442f-2e21-48a3-8b69-953400008e34
6e70f994-480b-4836-a605-5f958a3d7ea4,BT,dd6ad44b-6236-4279-8fae-9c4c00002f9d
6e70f994-480b-4836-a605-5f958a3d7ea4,BO,4fd9752b-6299-4437-b89c-19650000a533
6e70f994-480b-4836-a605-5f958a3d7ea4,BA,417a3482-b096-42ba-8b4a-fcb800001f69
6e70f994-480b-4836-a605-5f958a3d7ea4,BW,a7595f61-6b33-4a4b-9ae4-fb0e000007d9
6e70f994-480b-4836-a605-5f958a3d7ea4,BR,bc3c5ea6-67b3-4557-b7f2-649c00001c2c
6e70f994-480b-4836-a605-5f958a3d7ea4,BN,5a0dac09-9e10-4705-aa2a-a147000020a9
6e70f994-480b-4836-a605-5f958a3d7ea4,BG,23cdcd4b-45ec-4f69-8488-29230000102c
6e70f994-480b-4836-a605-5f958a3d7ea4,BF,a194d6bd-3dec-45e8-b33d-a2d100005533
6e70f994-480b-4836-a605-5f958a3d7ea4,BI,d039777f-7cb3-4a56-a0c4-b5630000760a
6e70f994-480b-4836-a605-5f958a3d7ea4,CV,17fc7823-016e-422b-8589-9a6700007e33
6e70f994-480b-4836-a605-5f958a3d7ea4,KH,ad8b2004-4e5d-4b97-acbb-07ba00006c42
